postercolumn_URL,Image,Rank_Title,Rank_Title_URL,Rank_Title1,Rank_Title2,IMDbRating,Text,Text1,Text2,Text3,Time,Field1,Text4,Text5,Text6
https://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg","
      1.
      The Shawshank Redemption
        (1994)
    ",https://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,The Shawshank Redemption,(1994),9.2,The Shawshank Redemption (1994)            ,"17 February 1995 (UK)
",Drama,"
                        2h 22min
                    ",9.3,"
            
                    
9.3/10                    
                    2,315,974
                        
                                8,520 user
                                171 critic
                        
            

  Rate This123456789100
    ","
        Director:
Frank Darabont    ","
        Stars:
Tim Robbins, Morgan Freeman, Bob Gunton            |
See full cast & crew »
    ","
                        16 June 1993 - 10 September 1993
                    "
https://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg","
      2.
      The Godfather
        (1972)
    ",https://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2,The Godfather,(1972),9.1,The Godfather (1972)            ,Drama,Crime,"
                        2h 55min
                    ",9.2,"
            
                    
9.2/10                    
                    1,599,190
                        
                                4,109 user
                                256 critic
                        
            

  Rate This123456789100
    ","
        Director:
Francis Ford Coppola    ","
        Stars:
Marlon Brando, Al Pacino, James Caan            |
See full cast & crew »
    ","
                        29 March 1971 - 6 August 1971
                    "
https://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg","
      3.
      The Godfather: Part II
        (1974)
    ",https://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3,The Godfather: Part II,(1974),9.0,The Godfather: Part II (1974)            ,Drama,Crime,"
                        3h 22min
                    ",9.0,"
            
                    
9.0/10                    
                    1,116,985
                        
                                1,058 user
                                179 critic
                        
            

  Rate This123456789100
    ","
        Director:
Francis Ford Coppola    ","
        Stars:
Al Pacino, Robert De Niro, Robert Duvall            |
See full cast & crew »
    ","
                        1 October 1973 - 19 June 1974
                    "
https://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UY67_CR0,0,45,67_AL_.jpg","
      4.
      The Dark Knight
        (2008)
    ",https://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4,The Dark Knight,(2008),9.0,The Dark Knight (2008)            ,Crime,Action,"
                        2h 32min
                    ",9.0,"
            
                    
9.0/10                    
                    2,278,411
                        
                                7,103 user
                                424 critic
                        
            

  Rate This123456789100
    ","
        Director:
Christopher Nolan    ","
        Stars:
Christian Bale, Heath Ledger, Aaron Eckhart            |
See full cast & crew »
    ","
                        18 April 2007 - 11 November 2007
                    "
https://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg","
      5.
      12 Angry Men
        (1957)
    ",https://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5,12 Angry Men,(1957),8.9,12 Angry Men (1957)            ,Drama,Crime,"
                        1h 36min
                    ",9.0,"
            
                    
9.0/10                    
                    681,337
                        
                                1,660 user
                                153 critic
                        
            

  Rate This123456789100
    ","
        Director:
Sidney Lumet    ","
        Stars:
Henry Fonda, Lee J. Cobb, Martin Balsam            |
See full cast & crew »
    ","
                        June 1956 - July 1956
                    "
https://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg","
      6.
      Schindler's List
        (1993)
    ",https://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6,Schindler's List,(1993),8.9,Schindler's List (1993)            ,Drama,Biography,"
                        3h 15min
                    ",8.9,"
            
                    
8.9/10                    
                    1,201,192
                        
                                1,892 user
                                232 critic
                        
            

  Rate This123456789100
    ","
        Director:
Steven Spielberg    ","
        Stars:
Liam Neeson, Ralph Fiennes, Ben Kingsley            |
See full cast & crew »
    ","
                        1 March 1993 - 11 May 1993
                    "
https://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg","
      7.
      The Lord of the Rings: The Return of the King
        (2003)
    ",https://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7,The Lord of the Rings: The Return of the King,(2003),8.9,The Lord of the Rings: The Return of the King (2003)            ,Adventure,Action,"
                        3h 21min
                    ",8.9,"
            
                    
8.9/10                    
                    1,625,983
                        
                                3,754 user
                                354 critic
                        
            

  Rate This123456789100
    ","
        Director:
Peter Jackson    ","
        Stars:
Elijah Wood, Viggo Mortensen, Ian McKellen            |
See full cast & crew »
    ","
                        11 October 1999 - 22 December 2000
                    "
https://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg","
      8.
      Pulp Fiction
        (1994)
    ",https://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8,Pulp Fiction,(1994),8.8,Pulp Fiction (1994)            ,Drama,Crime,"
                        2h 34min
                    ",8.9,"
            
                    
8.9/10                    
                    1,807,079
                        
                                3,109 user
                                292 critic
                        
            

  Rate This123456789100
    ","
        Director:
Quentin Tarantino    ","
        Stars:
John Travolta, Uma Thurman, Samuel L. Jackson            |
See full cast & crew »
    ","
                        20 September 1993 - 30 November 1993
                    "
https://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9,"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX45_CR0,0,45,67_AL_.jpg","
      9.
      The Good, the Bad and the Ugly
        (1966)
    ",https://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9,"The Good, the Bad and the Ugly",(1966),8.8,"The Good, the Bad and the Ugly (1966)            ","23 December 1966 (Italy)
",Western,"
                        2h 28min
                    ",8.8,"
            
                    
8.8/10                    
                    681,949
                        
                                1,144 user
                                212 critic
                        
            

  Rate This123456789100
    ","
        Director:
Sergio Leone    ","
        Stars:
Clint Eastwood, Eli Wallach, Lee Van Cleef            |
See full cast & crew »
    ","
                        April 1966 - July 1966
                    "
https://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR0,0,45,67_AL_.jpg","
      10.
      The Lord of the Rings: The Fellowship of the Ring
        (2001)
    ",https://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=S31SNNE8S7NH8SCSNNWF&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,The Lord of the Rings: The Fellowship of the Ring (2001)            ,Adventure,Action,"
                        2h 58min
                    ",8.8,"
            
                    
8.8/10                    
                    1,642,263
                        
                                5,416 user
                                343 critic
                        
            

  Rate This123456789100
    ","
        Director:
Peter Jackson    ","
        Stars:
Elijah Wood, Ian McKellen, Orlando Bloom            |
See full cast & crew »
    ","
                        11 October 1999 - 22 December 2000
                    "
